Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type,Standard Text Value,Value,Category,tkd
chembl3883534,,,372.79,0.0,4.3,26,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC,ic50,'=',1.0,nm,9.0,,,uo_0000065,24.14,0.47,4.7,11.82,0.0,chembl4178361,inhibition of egfr exon 19 deletion mutant phosphorylation in human pc9 cells preincubated for 2 hrs followed by egf stimulation for 10 mins by sandwich elisa,b,bao_0000219,cell-based format,homo sapiens,,,,,,,undefined mutation,chembl203,epidermal growth factor receptor,homo sapiens,single protein,chembl4177539,1.0,scientific literature,j med chem,2017.0,,,,,1.0,1.0,del
chembl4213082,,,494.98,0.0,4.55,23,C=CC(=O)Nc1ccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)cc3OC)ncc2Cl)cc1,ic50,'=',2820.0,nm,5.55,,,uo_0000065,11.21,0.22,1.0,6.04,0.0,chembl4179474,inhibition of egfr e746_a750 deletion mutant in human pc9 cells assessed as reduction in cell viability after 72 hrs by mtt assay,b,bao_0000219,cell-based format,homo sapiens,,,,,,,undefined mutation,chembl203,epidermal growth factor receptor,homo sapiens,single protein,chembl4177590,1.0,scientific literature,bioorg med chem lett,2017.0,,,,,2.82,1.0,del
chembl5196064,,,399.88,1.0,5.37,8c,COc1cc2ncnc3c2cc1OCCCCCCOc1cc(Cl)ccc1N3,ic50,'=',63506.7,nm,4.2,,,uo_0000065,10.5,0.2,-1.17,6.41,0.0,chembl5153035,inhibition of egfr (unknown origin) del19 mutant preincubated with compound 30 mins followed atp addition incubated for 30 mins by htrf kinease tk assay,b,bao_0000357,single protein format,homo sapiens,,,,,,,undefined mutation,chembl203,epidermal growth factor receptor,homo sapiens,single protein,chembl5150044,1.0,scientific literature,j med chem,2022.0,,time = 1.0 hr,inhibitor,,63506.7,1.0,del
chembl4209119,,,603.12,2.0,5.97,32,COc1cc(N2CCN(C)CC2)ccc1Nc1ncc(Cl)c(Oc2ccc(NC(=O)CCOCc3ccccc3)cc2)n1,ic50,'=',1090.0,nm,5.96,,,uo_0000065,9.89,0.19,-0.01,5.9,0.0,chembl4179474,inhibition of egfr e746_a750 deletion mutant in human pc9 cells assessed as reduction in cell viability after 72 hrs by mtt assay,b,bao_0000219,cell-based format,homo sapiens,,,,,,,undefined mutation,chembl203,epidermal growth factor receptor,homo sapiens,single protein,chembl4177590,1.0,scientific literature,bioorg med chem lett,2017.0,,,,,1.09,1.0,del
chembl4218320,,,603.12,2.0,5.97,11,COc1cc(N2CCN(C)CC2)ccc1Nc1ncc(Cl)c(Oc2ccccc2NC(=O)CCOCc2ccccc2)n1,ic50,'=',1980.0,nm,5.7,,,uo_0000065,9.46,0.18,-0.27,5.64,0.0,chembl4179474,inhibition of egfr e746_a750 deletion mutant in human pc9 cells assessed as reduction in cell viability after 72 hrs by mtt assay,b,bao_0000219,cell-based format,homo sapiens,,,,,,,undefined mutation,chembl203,epidermal growth factor receptor,homo sapiens,single protein,chembl4177590,1.0,scientific literature,bioorg med chem lett,2017.0,,,,,1.98,1.0,del
chembl4070553,,,491.98,0.0,4.28,30,CCC(=O)N1CCC[C@@H](n2nc(-c3ccc(OCc4ccccn4)c(Cl)c3)c3c(N)ncnc32)C1,gi50,'>',10000.0,nm,,,,uo_0000065,,,,,0.0,chembl4050469,inhibition of egfr exon 19 deletion mutant in human hcc827 cells assessed as growth inhibition after 72 hrs by celltiter-glo assay,b,bao_0000219,cell-based format,homo sapiens,,,,,,,undefined mutation,chembl203,epidermal growth factor receptor,homo sapiens,single protein,chembl4049404,1.0,scientific literature,j med chem,2017.0,,,,,10.0,1.0,del
chembl3814150,,,533.64,1.0,4.71,14,C=C(C)C(=O)Nc1cccc(-n2c(-c3nc(-c4cnn(C5CCN(C)CC5)c4)cnc3N)nc3ccccc32)c1,ec50,'=',9130.0,nm,5.04,,,uo_0000065,9.44,0.17,0.33,4.21,0.0,chembl3817138,inhibition of egfr exon19 deletion activating mutant autophosphorylation in human pc9 cells incubated for 2 hrs by elisa,b,bao_0000219,cell-based format,homo sapiens,,,pc-9,,,,undefined mutation,chembl203,epidermal growth factor receptor,homo sapiens,single protein,chembl3813644,1.0,scientific literature,acs med chem lett,2016.0,chembl3307867,,,,9.13,1.0,del
chembl4098444,,,537.67,2.0,5.6,6d,C=CC(=O)Nc1cc(Nc2n[nH]c3cc(-c4cn(C)c5ccccc45)ccc23)c(OC)cc1N(C)CCN(C)C,ec50,'=',400.0,nm,6.4,,,uo_0000065,11.9,0.22,0.8,7.07,0.0,chembl4009503,inhibition of egfr dele746_a750 mutant in human hcc827 cells assessed as reduction in cell viability after 96 hrs by celltiterglo assay,b,bao_0000219,cell-based format,homo sapiens,,,,,,,undefined mutation,chembl203,epidermal growth factor receptor,homo sapiens,single protein,chembl4007434,1.0,scientific literature,j med chem,2017.0,,,,,400.0,1.0,del
chembl5404639,,,497.58,1.0,5.13,28f,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(N4CCN(C)CC4)cc3)nc3ccc(F)cc23)c1,ic50,'=',1.3,nm,8.89,,,uo_0000065,17.86,0.33,3.76,10.4,0.0,chembl5384913,inhibition of human egfr exon del19 mutant by kinomescan analysis,b,bao_0000357,single protein format,homo sapiens,,,,,,,undefined mutation,chembl203,epidermal growth factor receptor,homo sapiens,single protein,chembl5380860,1.0,scientific literature,j med chem,2023.0,,,inhibitor,,1.3,1.0,del
chembl4207305,,,498.97,0.0,3.36,20,COc1cc(N2CCN(C)CC2)ccc1Nc1ncc(Cl)c(Oc2cccc(NC(=O)CO)c2)n1,ic50,'=',1500.0,nm,5.82,,,uo_0000065,11.67,0.23,2.46,5.2,0.0,chembl4179474,inhibition of egfr e746_a750 deletion mutant in human pc9 cells assessed as reduction in cell viability after 72 hrs by mtt assay,b,bao_0000219,cell-based format,homo sapiens,,,,,,,undefined mutation,chembl203,epidermal growth factor receptor,homo sapiens,single protein,chembl4177590,1.0,scientific literature,bioorg med chem lett,2017.0,,,,,1.5,1.0,del
chembl5191366,,,387.82,0.0,3.82,3c,COc1cc2ncnc3c2cc1OCCOCCOc1cc(Cl)ccc1N3,ic50,'>',100000.0,nm,,,,uo_0000065,,,,,0.0,chembl5153035,inhibition of egfr (unknown origin) del19 mutant preincubated with compound 30 mins followed atp addition incubated for 30 mins by htrf kinease tk assay,b,bao_0000357,single protein format,homo sapiens,,,,,,,undefined mutation,chembl203,epidermal growth factor receptor,homo sapiens,single protein,chembl5150044,1.0,scientific literature,j med chem,2022.0,,time = 1.0 hr,,,100000.0,1.0,del
chembl4216551,,,552.08,1.0,4.48,29,COc1cc(N2CCN(C)CC2)ccc1Nc1ncc(Cl)c(Oc2ccc(NC(=O)/C=C/CN(C)C)cc2)n1,ic50,'=',8070.0,nm,5.09,,,uo_0000065,9.23,0.18,0.61,5.36,0.0,chembl4179474,inhibition of egfr e746_a750 deletion mutant in human pc9 cells assessed as reduction in cell viability after 72 hrs by mtt assay,b,bao_0000219,cell-based format,homo sapiens,,,,,,,undefined mutation,chembl203,epidermal growth factor receptor,homo sapiens,single protein,chembl4177590,1.0,scientific literature,bioorg med chem lett,2017.0,,,,,8.07,1.0,del
chembl5169346,,,431.88,0.0,3.84,9c,COc1cc2ncnc3c2cc1OCCOCCOCCOc1cc(Cl)ccc1N3,ic50,'=',16.2,nm,7.79,,,uo_0000065,18.04,0.35,3.95,9.28,0.0,chembl5153035,inhibition of egfr (unknown origin) del19 mutant preincubated with compound 30 mins followed atp addition incubated for 30 mins by htrf kinease tk assay,b,bao_0000357,single protein format,homo sapiens,,,,,,,undefined mutation,chembl203,epidermal growth factor receptor,homo sapiens,single protein,chembl5150044,1.0,scientific literature,j med chem,2022.0,,time = 1.0 hr,inhibitor,,16.2,1.0,del
chembl4215164,,,513.0,1.0,3.75,22,COc1cc(N2CCN(C)CC2)ccc1Nc1ncc(Cl)c(Oc2cccc(NC(=O)CCO)c2)n1,ic50,'=',1590.0,nm,5.8,,,uo_0000065,11.3,0.22,2.05,5.17,0.0,chembl4179474,inhibition of egfr e746_a750 deletion mutant in human pc9 cells assessed as reduction in cell viability after 72 hrs by mtt assay,b,bao_0000219,cell-based format,homo sapiens,,,,,,,undefined mutation,chembl203,epidermal growth factor receptor,homo sapiens,single protein,chembl4177590,1.0,scientific literature,bioorg med chem lett,2017.0,,,,,1.59,1.0,del
chembl3814484,,,507.6,1.0,4.15,9,CC(=O)Nc1cccc(-n2c(-c3nc(-c4cnn(C5CCN(C)CC5)c4)cnc3N)nc3ccccc32)c1,ec50,'=',8010.0,nm,5.1,,,uo_0000065,10.04,0.18,0.95,4.25,0.0,chembl3817138,inhibition of egfr exon19 deletion activating mutant autophosphorylation in human pc9 cells incubated for 2 hrs by elisa,b,bao_0000219,cell-based format,homo sapiens,,,pc-9,,,,undefined mutation,chembl203,epidermal growth factor receptor,homo sapiens,single protein,chembl3813644,1.0,scientific literature,acs med chem lett,2016.0,chembl3307867,,,,8.01,1.0,del
chembl5284780,,,615.16,1.0,4.19,19e,C=CC(=O)Nc1cc(Nc2ncc(Cl)c(Nc3ccccc3S(=O)(=O)NC3CC3)n2)c(OC)cc1N(C)CCN(C)C,ic50,'=',0.72,nm,9.14,,,uo_0000065,14.86,0.3,4.95,6.49,0.0,chembl5259687,inhibition of egfr del19 mutant (unknown origin) pre-incubated for 10 mins followed by substrate addition measured after 60 mins in presence of atp by mobility shifting assay,b,bao_0000357,single protein format,homo sapiens,,,,,,,undefined mutation,chembl203,epidermal growth factor receptor,homo sapiens,single protein,chembl5257101,1.0,scientific literature,bioorg med chem,2023.0,,time = 1.167 hr,inhibitor,,0.72,1.0,del
chembl5087139,,,683.61,2.0,6.56,7g,C=CC(=O)Nc1cc(Nc2nccc(Nc3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C(=O)c1ccc(Br)cc1,ic50,'=',300.5,nm,6.52,,,uo_0000065,9.54,0.19,-0.04,5.59,0.0,chembl5046853,inhibition of egfr del19 (unknown origin) using flurogenic substrate in presence of atp by htrf assay,b,bao_0000357,single protein format,homo sapiens,,,,,,,undefined mutation,chembl203,epidermal growth factor receptor,homo sapiens,single protein,chembl5046228,1.0,scientific literature,eur j med chem,2022.0,,,inhibitor,,300.5,1.0,del
chembl5180070,,,399.88,1.0,5.37,8b,COc1cc2ncnc3c2cc1OCCCCCCOc1c(Cl)cccc1N3,ic50,'=',3034.0,nm,5.52,,,uo_0000065,13.8,0.27,0.15,8.42,0.0,chembl5153035,inhibition of egfr (unknown origin) del19 mutant preincubated with compound 30 mins followed atp addition incubated for 30 mins by htrf kinease tk assay,b,bao_0000357,single protein format,homo sapiens,,,,,,,undefined mutation,chembl203,epidermal growth factor receptor,homo sapiens,single protein,chembl5150044,1.0,scientific literature,j med chem,2022.0,,time = 1.0 hr,inhibitor,,3034.0,1.0,del
chembl3989970,mavelertinib,2.0,415.43,0.0,0.68,21; pf-06747775,C=CC(=O)N[C@@H]1CN(c2nc(Nc3cn(C)nc3OC)c3ncn(C)c3n2)C[C@H]1F,ic50,'=',5.0,nm,8.3,,,uo_0000065,19.98,0.38,7.62,7.22,0.0,chembl4178361,inhibition of egfr exon 19 deletion mutant phosphorylation in human pc9 cells preincubated for 2 hrs followed by egf stimulation for 10 mins by sandwich elisa,b,bao_0000219,cell-based format,homo sapiens,,,,,,,undefined mutation,chembl203,epidermal growth factor receptor,homo sapiens,single protein,chembl4177539,1.0,scientific literature,j med chem,2017.0,,,,,5.0,1.0,del
chembl939,gefitinib,4.0,446.91,0.0,4.28,gefitinib,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,ic50,'=',12.0,nm,7.92,,,uo_0000065,17.72,0.35,3.64,11.52,1.0,chembl4179474,inhibition of egfr e746_a750 deletion mutant in human pc9 cells assessed as reduction in cell viability after 72 hrs by mtt assay,b,bao_0000219,cell-based format,homo sapiens,,,,,,,undefined mutation,chembl203,epidermal growth factor receptor,homo sapiens,single protein,chembl4177590,1.0,scientific literature,bioorg med chem lett,2017.0,,,,,0.012,1.0,del
chembl4089863,,,534.66,2.0,6.26,7a,C=CC(=O)Nc1cc(Nc2n[nH]c3ccc(-c4ccc5ccccc5c4)cc23)c(OC)cc1N(C)CCN(C)C,ec50,'=',1095.0,nm,5.96,,,uo_0000065,11.15,0.2,-0.3,6.97,0.0,chembl4009503,inhibition of egfr dele746_a750 mutant in human hcc827 cells assessed as reduction in cell viability after 96 hrs by celltiterglo assay,b,bao_0000219,cell-based format,homo sapiens,,,,,,,undefined mutation,chembl203,epidermal growth factor receptor,homo sapiens,single protein,chembl4007434,1.0,scientific literature,j med chem,2017.0,,,,,1095.0,1.0,del
chembl3353407,,,534.06,2.0,5.16,24,C=CC(=O)Nc1cc(Nc2ncc(Cl)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,ic50,'=',2000.0,nm,5.7,,,uo_0000065,10.67,0.2,0.54,6.51,0.0,chembl3389021,inhibition of egfr exon 19 deletion activating mutant phosphorylation in human pc9 cells after 2 hrs by fluorescence assay,b,bao_0000219,cell-based format,homo sapiens,,,pc-9,,,,undefined mutation,chembl203,epidermal growth factor receptor,homo sapiens,single protein,chembl3351341,1.0,scientific literature,j med chem,2014.0,chembl3307867,,,,2.0,1.0,del
chembl4070553,,,491.98,0.0,4.28,30,CCC(=O)N1CCC[C@@H](n2nc(-c3ccc(OCc4ccccn4)c(Cl)c3)c3c(N)ncnc32)C1,gi50,'=',6300.0,nm,,,,uo_0000065,,,,,0.0,chembl4050432,inhibition of full length egfr exon 19 deletion mutant (unknown origin) expressed in mouse baf3 cells assessed as growth inhibition after 72 hrs by celltiter-glo assay,b,bao_0000219,cell-based format,homo sapiens,,,,,,,undefined mutation,chembl203,epidermal growth factor receptor,homo sapiens,single protein,chembl4049404,1.0,scientific literature,j med chem,2017.0,,,,,6.3,1.0,del
chembl4531697,,,693.61,1.0,4.88,7d,C=CC(=O)Nc1cc(Nc2ncc(I)c(Nc3ccccc3S(=O)(=O)C(C)C)n2)c(OC)cc1N(C)CCN(C)C,ec50,'=',47.0,nm,7.33,,,uo_0000065,10.56,0.24,2.45,5.69,0.0,chembl4382302,inhibition of egfr exon19 deletion mutant (unknown origin) transfected in mouse baf3 cells assessed as reduction in cell viability after 72 hrs by mts assay,b,bao_0000219,cell-based format,homo sapiens,,,baf3,,,,undefined mutation,chembl203,epidermal growth factor receptor,homo sapiens,single protein,chembl4382192,1.0,scientific literature,eur j med chem,2017.0,chembl3307634,,,,47.0,1.0,del
chembl4202955,,,552.08,1.0,4.48,18,COc1cc(N2CCN(C)CC2)ccc1Nc1ncc(Cl)c(Oc2cccc(NC(=O)/C=C/CN(C)C)c2)n1,ic50,'=',5010.0,nm,5.3,,,uo_0000065,9.6,0.19,0.82,5.57,0.0,chembl4179474,inhibition of egfr e746_a750 deletion mutant in human pc9 cells assessed as reduction in cell viability after 72 hrs by mtt assay,b,bao_0000219,cell-based format,homo sapiens,,,,,,,undefined mutation,chembl203,epidermal growth factor receptor,homo sapiens,single protein,chembl4177590,1.0,scientific literature,bioorg med chem lett,2017.0,,,,,5.01,1.0,del
chembl4159909,,,614.17,2.0,5.07,18,C=CC(=O)Nc1cc(Nc2ncc(Cl)c(Nc3ccccc3S(=O)(=O)C(C)C)n2)c(OC)cc1N1CCCN(C)CC1,gi50,'=',8.5,nm,,,,uo_0000065,,,,,0.0,chembl4145714,inhibition of full length egfr del19 mutant (unknown origin) expressed in mouse baf3 cells assessed as decrease in cell proliferation after 72 hrs by celltiter-glo assay,b,bao_0000219,cell-based format,homo sapiens,,,,,,,,chembl203,epidermal growth factor receptor,homo sapiens,single protein,chembl4145441,1.0,scientific literature,eur j med chem,2017.0,,,,,0.0085,1.0,del
chembl5076881,,,566.67,1.0,4.51,7k,C=CC(=O)Nc1cc(Nc2nccc(Nc3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C(=O)C#CC,ic50,'=',948.8,nm,6.02,,,uo_0000065,10.63,0.2,1.51,5.16,0.0,chembl5046853,inhibition of egfr del19 (unknown origin) using flurogenic substrate in presence of atp by htrf assay,b,bao_0000357,single protein format,homo sapiens,,,,,,,undefined mutation,chembl203,epidermal growth factor receptor,homo sapiens,single protein,chembl5046228,1.0,scientific literature,eur j med chem,2022.0,,,inhibitor,,948.8,1.0,del
chembl3813997,,,563.62,1.0,3.21,28,C=CC(=O)Nc1cccc(-n2c(-c3nc(-c4cnn(C5CCN(C(=O)CO)CC5)c4)cnc3N)nc3ccccc32)c1,ec50,'=',18.0,nm,7.75,,,uo_0000065,13.74,0.25,4.53,4.93,0.0,chembl3817138,inhibition of egfr exon19 deletion activating mutant autophosphorylation in human pc9 cells incubated for 2 hrs by elisa,b,bao_0000219,cell-based format,homo sapiens,,,pc-9,,,,undefined mutation,chembl203,epidermal growth factor receptor,homo sapiens,single protein,chembl3813644,1.0,scientific literature,acs med chem lett,2016.0,chembl3307867,,,,0.018,1.0,del
chembl4205869,,,470.92,0.0,4.33,13,COc1cc(N2CCN(C)CC2)ccc1Nc1ncc(Cl)c(Oc2cccc([N+](=O)[O-])c2)n1,ic50,'=',8870.0,nm,5.05,,,uo_0000065,10.73,0.21,0.72,4.77,0.0,chembl4179474,inhibition of egfr e746_a750 deletion mutant in human pc9 cells assessed as reduction in cell viability after 72 hrs by mtt assay,b,bao_0000219,cell-based format,homo sapiens,,,,,,,undefined mutation,chembl203,epidermal growth factor receptor,homo sapiens,single protein,chembl4177590,1.0,scientific literature,bioorg med chem lett,2017.0,,,,,8.87,1.0,del
chembl3814482,,,533.64,1.0,4.38,17,C=CC(=O)Nc1cccc(Cn2c(-c3nc(-c4cnn(C5CCN(C)CC5)c4)cnc3N)nc3ccccc32)c1,ec50,'=',280.0,nm,6.55,,,uo_0000065,12.28,0.22,2.17,5.47,0.0,chembl3817138,inhibition of egfr exon19 deletion activating mutant autophosphorylation in human pc9 cells incubated for 2 hrs by elisa,b,bao_0000219,cell-based format,homo sapiens,,,pc-9,,,,undefined mutation,chembl203,epidermal growth factor receptor,homo sapiens,single protein,chembl3813644,1.0,scientific literature,acs med chem lett,2016.0,chembl3307867,,,,0.28,1.0,del
chembl2426278,,,518.02,1.0,4.91,58,C=CC(=O)Nc1cc(Nc2ncc(Cl)c(-c3c[nH]c4ccccc34)n2)c(OC)cc1N1CCN(C)CC1,ic50,'=',23.0,nm,7.64,,,uo_0000065,14.75,0.28,2.73,7.76,0.0,chembl2427714,inhibition of egfr exon 19 deletion activating mutant phosphorylation in human pc9 cells after 2 hrs by fluorescence assay,b,bao_0000219,cell-based format,homo sapiens,,,pc-9,,,,undefined mutation,chembl203,epidermal growth factor receptor,homo sapiens,single protein,chembl2424560,1.0,scientific literature,j med chem,2013.0,chembl3307867,,,,0.023,1.0,del
chembl939,gefitinib,4.0,446.91,0.0,4.28,1,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,ec50,'<',14.0,nm,,,,uo_0000065,,,,,0.0,chembl4009503,inhibition of egfr dele746_a750 mutant in human hcc827 cells assessed as reduction in cell viability after 96 hrs by celltiterglo assay,b,bao_0000219,cell-based format,homo sapiens,,,,,,,undefined mutation,chembl203,epidermal growth factor receptor,homo sapiens,single protein,chembl4007434,1.0,scientific literature,j med chem,2017.0,,,,,14.0,1.0,del
chembl3786343,olmutinib,4.0,486.6,1.0,5.1,4,C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)cc3)nc3ccsc23)c1,ic50,'=',9.2,nm,8.04,,,uo_0000065,16.52,0.31,2.94,9.73,0.0,chembl5150417,inhibition of egfr del19 mutant in human hcc827 cells,b,bao_0000219,cell-based format,homo sapiens,,,hcc827,,,,undefined mutation,chembl203,epidermal growth factor receptor,homo sapiens,single protein,chembl5149968,1.0,scientific literature,eur j med chem,2021.0,,,inhibitor,,9.2,1.0,del
